구분,연도,전체 경쟁률,남자 경쟁률,여자 경쟁률
육군사관학교,2013,20.6,18.1,43.3
육군사관학교,2014,18.6,16.2,40.4
육군사관학교,2015,22,19.1,49.5
육군사관학교,2016,31.2,26.7,72.5
육군사관학교,2017,32.8,27.1,85.3
육군사관학교,2018,34.2,28.1,78.1
육군사관학교,2019,44.4,35.2,111.2
육군사관학교,2020,26.2,20.8,65.4
육군사관학교,2021,24.4,19.7,59
육군사관학교,2022,25.8,20.2,66.8
해군사관학교,2013,30.5,26.6,65.3
해군사관학교,2014,23.1,20.5,46.2
해군사관학교,2015,25.1,21.3,59.9
해군사관학교,2016,29.4,25.4,65.5
해군사관학교,2017,39,33.6,87.7
해군사관학교,2018,38.5,33.5,75.9
해군사관학교,2019,19.2,16.9,37.2
해군사관학교,2020,21.7,18.4,46.4
해군사관학교,2021,20.7,17.4,45.4
해군사관학교,2022,18.7,16,33.8
공군사관학교,2013,36.8,33.2,72.1
공군사관학교,2014,25.6,23.5,44.6
공군사관학교,2015,32,28,69.2
공군사관학교,2016,39,34.2,83.6
공군사관학교,2017,38.6,33,90.4
공군사관학교,2018,39.4,33.3,92.5
공군사관학교,2019,48.7,40.6,120.2
공군사관학교,2020,22.9,20.3,46.6
공군사관학교,2021,20.6,17.5,48.1
공군사관학교,2022,21.4,19,34.7
육군 3사관학교,2013,4.6,4.6,0
육군 3사관학교,2014,7.3,5.8,48.1
육군 3사관학교,2015,4.5,3.4,25.6
육군 3사관학교,2016,5.2,3.9,34.8
육군 3사관학교,2017,6.7,5,43.4
육군 3사관학교,2018,6.1,4.3,14.3
육군 3사관학교,2019,6,4.5,19.8
육군 3사관학교,2020,4.7,3.5,15.7
육군 3사관학교,2021,4.5,3.2,16
육군 3사관학교,2022,3.6,2.6,12
간호사관학교,2013,34.1,33.7,37.8
간호사관학교,2014,36.4,35,49.5
간호사관학교,2015,35.6,34.5,45.5
간호사관학교,2016,51.7,58.2,52.9
간호사관학교,2017,50,48.8,62.1
간호사관학교,2018,47.7,46.1,62.1
간호사관학교,2019,44.3,41.9,66.7
간호사관학교,2020,27.7,26.6,37.3
간호사관학교,2021,26.5,26.1,30.6
간호사관학교,2022,27.1,25.5,41.8
