구분,지원,선발,선발취소,연기,입영,귀가,실입영
서울,"45,998","13,458",193,193,"13,072",279,"12,793"
부산,"21,615","6,464",75,53,"6,336",144,"6,192"
대구/경북,"26,058","8,484",123,110,"8,251",169,"8,082"
경인,"41,456","11,741",153,121,"11,467",291,"11,176"
광주/전남,"17,361","5,960",61,71,"5,828",85,"5,743"
대전/충남,"20,460","6,307",75,60,"6,172",122,"6,050"
강원,"4,710","1,784",33,21,"1,730",69,"1,661"
충북,"8,358","2,670",37,21,"2,612",92,"2,520"
전북,"9,932","3,340",53,37,"3,250",63,"3,187"
경남,"16,287","4,951",68,68,"4,815",98,"4,717"
제주,"3,400","1,112",20,16,"1,076",29,"1,047"
인천,"31,631","9,267",146,115,"9,006",247,"8,759"
경기/북부,"23,195","6,509",115,73,"6,321",258,"6,063"
강원/영동,"2,809",992,18,12,962,52,910
